year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold,model
2018,BMJ,1.4118,0.6838,1.0831,1.0,node2vec
2018,BMJ Global Health,0.875,0.4583,0.6428,1.0,node2vec
2018,BMJ Open,0.6108,0.173,0.3904,1.0,node2vec
2018,BMJ Open Diabetes Research & Care,0.2857,0.0952,0.2425,1.0,node2vec
2018,BioMed Research International,0.5417,0.0833,0.2819,1.0,node2vec
2018,Biochemical and Biophysical Research Communications,0.5849,0.3962,0.5422,1.0,node2vec
2018,Biological Psychiatry,1.0,0.28,0.6079,1.0,node2vec
2018,Biology of Blood and Marrow Transplantation,0.3704,0.1481,0.2778,1.0,node2vec
2018,Biomaterials,0.53,0.17,0.3601,1.0,node2vec
2018,Biomedical Optics Express,1.0,0.7391,0.8749,1.0,node2vec
2018,Biomedical Signal Processing and Control,0.7391,0.4783,0.612,1.0,node2vec
2018,Biomedicine & Pharmacotherapy,0.2703,0.1081,0.215,1.0,node2vec
2018,Biosensors and Bioelectronics,0.2593,0.1111,0.1435,1.0,node2vec
2018,Blood,1.2264,0.4871,0.9155,1.0,node2vec
2018,Blood Advances,0.2727,0.0909,0.2235,1.0,node2vec
2018,Bone,0.3462,0.1154,0.2077,1.0,node2vec
2018,Brain,1.6346,0.8782,1.2827,1.0,node2vec
2018,Brain Behavior and Immunity,0.25,0.0357,0.1326,1.0,node2vec
2018,Breast Cancer Research,0.6154,0.3077,0.5111,1.0,node2vec
2018,Breast Cancer Research and Treatment,0.7174,0.3696,0.5731,1.0,node2vec
2018,British Journal Of Nutrition,0.6538,0.0769,0.3176,1.0,node2vec
2018,British Journal of Anaesthesia,0.4127,0.1905,0.3268,1.0,node2vec
2018,British Journal of Cancer,0.4615,0.1827,0.3588,1.0,node2vec
2018,British Journal of Dermatology,0.3455,0.1091,0.2116,1.0,node2vec
2018,British Journal of Haematology,0.8478,0.4565,0.6621,1.0,node2vec
2018,British Journal of Ophthalmology,0.8723,0.5532,0.7237,1.0,node2vec
2018,British Journal of Pharmacology,1.0,0.2083,0.5527,1.0,node2vec
2018,British Journal of Sports Medicine,1.6824,0.9176,1.3255,1.0,node2vec
2018,British Journal of Urology,0.8,0.5143,0.6813,1.0,node2vec
2018,British journal of surgery,0.8889,0.2222,0.6062,1.0,node2vec
2018,Bulletin of the World Health Organization,1.619,1.2857,1.4508,1.0,node2vec
2018,CA A Cancer Journal for Clinicians,23.8,2.55,6.6515,1.0,node2vec
2018,CHEST Journal,1.1667,0.3667,0.7736,1.0,node2vec
2018,Canadian Medical Association Journal,0.7273,0.2273,0.5569,1.0,node2vec
2018,Cancer,1.1073,0.339,0.7604,1.0,node2vec
2018,Cancer Cell,1.5506,0.5169,0.9733,1.0,node2vec
2018,Cancer Discovery,2.3286,1.0143,1.7213,1.0,node2vec
2018,Cancer Epidemiology Biomarkers & Prevention,0.6429,0.1786,0.4436,1.0,node2vec
2018,Cancer Immunology Immunotherapy,0.4091,0.2727,0.2955,1.0,node2vec
2018,Cancer Immunology Research,1.45,0.3667,0.9008,1.0,node2vec
2018,Cancer Letters,0.6047,0.2326,0.3682,1.0,node2vec
2018,Cancer Medicine,0.9583,0.4167,0.6919,1.0,node2vec
2018,Cancer Research,0.6963,0.2042,0.4372,1.0,node2vec
2018,Cancer Science,1.15,0.6,0.9364,1.0,node2vec
2018,Carbohydrate Polymers,0.3333,0.1429,0.2526,1.0,node2vec
2018,Cardiovascular Diabetology,0.6452,0.4516,0.56,1.0,node2vec
2018,Cardiovascular Research,0.5185,0.0741,0.255,1.0,node2vec
2018,Cell,3.7704,2.6222,3.1514,1.0,node2vec
2018,Cell Death and Differentiation,0.3478,0.0,0.1976,1.0,node2vec
2018,Cell Death and Disease,0.3333,0.1042,0.2056,1.0,node2vec
2018,Cell Host & Microbe,5.4286,5.0,5.2175,1.0,node2vec
2018,Cell Metabolism,1.3545,0.6,0.9533,1.0,node2vec
2018,Cell Reports,1.1943,0.753,0.9772,1.0,node2vec
2018,Cell stem cell,4.3467,3.8,4.0202,1.0,node2vec
2018,Cellular Physiology and Biochemistry,1.9667,0.1667,1.2164,1.0,node2vec
2018,Cephalalgia,0.4348,0.1304,0.241,1.0,node2vec
2018,Chemical Science,1.0,0.5385,0.7086,1.0,node2vec
2018,Circulation,1.2642,0.4717,0.8573,1.0,node2vec
2018,Circulation Arrhythmia and Electrophysiology,1.1364,0.6818,0.8953,1.0,node2vec
2018,Circulation Cardiovascular Imaging,0.6182,0.2364,0.4308,1.0,node2vec
2018,Circulation Cardiovascular Interventions,0.775,0.375,0.5613,1.0,node2vec
2018,Circulation Heart Failure,0.9111,0.3778,0.6704,1.0,node2vec
2018,Circulation Research,0.9706,0.5,0.7674,1.0,node2vec
2018,Clinical Cancer Research,1.2294,0.4557,0.8529,1.0,node2vec
2018,Clinical Chemistry,0.8966,0.3103,0.691,1.0,node2vec
2018,Clinical Gastroenterology and Hepatology,0.7333,0.2556,0.5297,1.0,node2vec
2018,Clinical Infectious Diseases,1.1731,0.649,0.911,1.0,node2vec
2018,Clinical Journal of the American Society of Nephrology,0.614,0.2281,0.3652,1.0,node2vec
2018,Clinical Microbiology and Infection,1.1538,0.3846,0.8581,1.0,node2vec
2018,Clinical Nutrition,0.9123,0.2281,0.5871,1.0,node2vec
2018,Clinical Orthopaedics and Related Research,0.8333,0.3889,0.5693,1.0,node2vec
2018,Clinical Pharmacology & Therapeutics,0.5,0.1364,0.3336,1.0,node2vec
2018,Cochrane Database of Systematic Reviews,0.5217,0.1304,0.2936,1.0,node2vec
2018,Computer Methods and Programs in Biomedicine,0.7586,0.2069,0.57,1.0,node2vec
2018,Computers in Biology and Medicine,0.7576,0.303,0.5853,1.0,node2vec
2018,Critical Care,0.825,0.425,0.6105,1.0,node2vec
2018,Critical Care Medicine,0.8833,0.475,0.7247,1.0,node2vec
2018,Current Biology,0.3913,0.087,0.2847,1.0,node2vec
2018,Development,0.6154,0.1923,0.5124,1.0,node2vec
2018,Diabetes,0.9167,0.2976,0.6418,1.0,node2vec
2018,Diabetes Care,1.2108,0.5568,0.912,1.0,node2vec
2018,Diabetes Obesity and Metabolism,1.2581,0.7742,1.0569,1.0,node2vec
2018,Diabetes Research and Clinical Practice,1.55,0.8,1.3432,1.0,node2vec
2018,Diabetologia,0.9643,0.4762,0.6673,1.0,node2vec
2018,Digestive Diseases and Sciences,0.5,0.25,0.3119,1.0,node2vec
2018,Diseases of the Colon & Rectum,0.4333,0.1333,0.2446,1.0,node2vec
2018,Drug and Alcohol Dependence,1.1282,0.7308,0.9584,1.0,node2vec
2018,EBioMedicine,1.1667,0.7778,0.9769,1.0,node2vec
2018,EMBO Molecular Medicine,0.8857,0.2571,0.6172,1.0,node2vec
2018,EP Europace,2.4211,2.0263,2.2402,1.0,node2vec
2018,Emerging infectious diseases,1.8795,1.5181,1.7484,1.0,node2vec
2018,Endocrinology,0.5455,0.1818,0.366,1.0,node2vec
2018,Endoscopy,0.7872,0.3404,0.5287,1.0,node2vec
2018,Epilepsia,0.6296,0.1481,0.3787,1.0,node2vec
2018,EuroIntervention,1.875,1.0417,1.3983,1.0,node2vec
2018,European Heart Journal,2.2178,0.9356,1.5517,1.0,node2vec
2018,European Heart Journal - Cardiovascular Imaging,0.7143,0.3429,0.5112,1.0,node2vec
2018,European Journal of Applied Physiology,0.44,0.16,0.2998,1.0,node2vec
2018,European Journal of Cancer,1.0,0.4019,0.7268,1.0,node2vec
2018,European Journal of Cardio-Thoracic Surgery,0.6389,0.5556,0.5815,1.0,node2vec
2018,European Journal of Endocrinology,1.0,0.3214,0.5899,1.0,node2vec
2018,European Journal of Heart Failure,1.7558,0.314,1.0992,1.0,node2vec
2018,European Journal of Medicinal Chemistry,0.3333,0.1667,0.245,1.0,node2vec
2018,European Journal of Neurology,0.3182,0.1818,0.2166,1.0,node2vec
2018,European Journal of Nuclear Medicine and Molecular Imaging,1.6986,1.1233,1.4698,1.0,node2vec
2018,European Journal of Preventive Cardiology,0.8095,0.1429,0.4734,1.0,node2vec
2018,European Journal of Radiology,0.8261,0.2174,0.6128,1.0,node2vec
2018,European Journal of Surgical Oncology,0.5769,0.1154,0.4143,1.0,node2vec
2018,European Radiology,0.662,0.338,0.5087,1.0,node2vec
2018,European Respiratory Journal,0.986,0.4056,0.7002,1.0,node2vec
2018,European Spine Journal,0.3256,0.0465,0.1808,1.0,node2vec
2018,European Urology,1.7395,0.9328,1.3792,1.0,node2vec
